category,sub_category,crimeaditionalinfo,processed_text
Online Gambling  Betting,Online Gambling  Betting,i got a call around  from the no  telling me that my father said  him to send me money amount   via phonepay and he tell me to open phonepay and i have received the money but money is sent to the wallet so to transfer tht money i have to send him  rupee then i asked him to wait nd let me first call my father and ask then he said that if i will call my father thn his laptop will hang and i cant call my father nd i have to hurry because he is getting late then i found something fishy and asked him my fathers name he didnt tell me and start abusing me very badly and use very offensive words,got call around tell father said send money amount via phonepay tell open phonepay receiv money money sent wallet transfer tht money send rupe ask wait nd let first call father ask said call father thn laptop hang cant call father nd hurri get late found someth fishi ask father name didnt tell start abus badli use offens word
Online Gambling  Betting,Online Gambling  Betting,People from tumkur town are running cricket betting through mobile apps Am a victim and was away from it from past  months and decided not to get involved but now they forcing me to join and when rejected they demanding money of lakh and threatening me and harrasing by calling and showing up at my place Am scared to even go out and have seen many victims Please do something about it,peopl tumkur town run cricket bet mobil app victim away past month decid get involv forc join reject demand money lakh threaten harras call show place scare even go seen mani victim pleas someth
Online Gambling  Betting,Online Gambling  Betting,ISANE MERE JAISE BAHUT HI LOGO KA PAISA LIYA HAI AUR BOLATA HAI KI  RS DO MAI TUMHE DAILY  RS DUNGA  YEAR TAK AUR HUME LAGA KI SACH BOL RHA HAI  HUMNE PAISA DE DIYA AUR FIR ISNE WEBSITE HI BAND KAR DIYA wwwnmmediascom PLEASE HELP ME SIR,isan mere jais bahut hi logo ka paisa liya hai aur bolata hai ki rs mai tumh daili rs dunga year tak aur hume laga ki sach bol rha hai humn paisa de diya aur fir isn websit hi band kar diya wwwnmmediascom pleas help sir
Online Gambling  Betting,Online Gambling  Betting,They will massage me on whatsapp and ask to repay loan amount but i dont take any loan they said that i have your aadhar card and pan card and threatened me to send your aadhar card and pan card details to the third party i already paid  to that application,massag whatsapp ask repay loan amount dont take loan said aadhar card pan card threaten send aadhar card pan card detail third parti alreadi paid applic
Online Gambling  Betting,Online Gambling  Betting,"By telling he ll play games he said that if u deposit some money i ll play and earn money with ur deposited credit  
And he said that he will take  of profit and remaing will be credited to me
After i sent my money he told we have won and now you have to pay withdraw fee i sai i dont have and now he is not replying",tell play game said u deposit money play earn money ur deposit credit said take profit rema credit sent money told pay withdraw fee sai dont repli
Online Gambling  Betting,Online Gambling  Betting,I have gone through a app called as knc chain which is a investment related money generating app where if we invest  after few days we will get a lumpsum of approximately I invested in that around  but it has given me only  and trying to fraud in very futureSo many people has invested in it and they are going to lose it Actually it found geniune in the first and given the withdrawal in time and they have conducted a event where so many people invested lots of money in it And now they are going to close the app and steal the moneyIt is making fraud taking money from people by investments stating that return of  percent  percent and so onsoplease help me in the return of my money which I have invested in this fraud chain KNCchainLikely this chain has so many connects as it removes this app named knc they are going to place another app with another name and do the same fraud again and again People will lose the money if we donot take a legal actionThey are slowly becoming unactive so please take action as soon as possible before they lift the company in very futureThis is my humble request and hoping that you will definitely help me and the people who lost their money in this fraud chain,gone app call knc chain invest relat money gener app invest day get lumpsum approxim invest around given tri fraud futureso mani peopl invest go lose actual found geniun first given withdraw time conduct event mani peopl invest lot money go close app steal moneyit make fraud take money peopl invest state return percent percent onsopleas help return money invest fraud chain kncchainlik chain mani connect remov app name knc go place anoth app anoth name fraud peopl lose money donot take legal actionthey slowli becom unact pleas take action soon possibl lift compani futurethi humbl request hope definit help peopl lost money fraud chain
Online Gambling  Betting,Online Gambling  Betting,,nan
Online Gambling  Betting,Online Gambling  Betting,"Google chorome pe ham sbi csp ke liye online kiye Company ka nameoxigen service India pvt ltd hai  Mob number  pe call aaya or bola gaya ki meri company  dino me sbi csp provide karata h or phir bola gaya kj company registration charge or security money lagega phir  mahine me refund ho jayega hmane   regi charge  pay kar diye ushke bad bola gaya ki od acount kholaya jayega ham berojgar hai ish liye kam ke liye koi business khoj rhe the ishi ke dauran hamne  se lekar  tak   pay kar diye or bola gaya ki hamare company ke or se  bank degi ye sab bato ke sun kar ham sare paisa pay different different upi se kiya hua apse nivedan h ki ish admi  pe sakt krwaie ki jaye
Or paisa mangne pe gali galuj or dhamki deta hai apse ummid karta hu ki mere paisa return karane ka kripa krenge jaldi",googl chorom pe ham sbi csp ke liy onlin kiy compani ka nameoxigen servic india pvt ltd hai mob number pe call aaya bola gaya ki meri compani dino sbi csp provid karata h phir bola gaya kj compani registr charg secur money lagega phir mahin refund ho jayega hmane regi charg pay kar diy ushk bad bola gaya ki od acount kholaya jayega ham berojgar hai ish liy kam ke liy koi busi khoj rhe ishi ke dauran hamn se lekar tak pay kar diy bola gaya ki hamar compani ke se bank degi ye sab bato ke sun kar ham sare paisa pay differ differ upi se kiya hua aps nivedan h ki ish admi pe sakt krwaie ki jay paisa mangn pe gali galuj dhamki deta hai aps ummid karta hu ki mere paisa return karan ka kripa kreng jaldi
Online Gambling  Betting,Online Gambling  Betting,,nan
Online Gambling  Betting,Online Gambling  Betting,"I lost money by investing in httpgewealthinindexuserregister
And they said after completion of the tasks give by them they will let me to withdrawn the  rupees so please help Me to get out of this and i want mine money back sir Please help me to get rid of this sir I invested money by lending from somebody on interest",lost money invest httpgewealthinindexuserregist said complet task give let withdrawn rupe pleas help get want mine money back sir pleas help get rid sir invest money lend somebodi interest
Online Gambling  Betting,Online Gambling  Betting,I taken lone in SMALL LONE APP but money didnt creadited in my account that lone duration is days and intest also is high for  intrest is around  for days Now ther are harrassing me to pay that amount otherwise they are telling that they will complete to my parents please help me sir madam,taken lone small lone app money didnt creadit account lone durat day intest also high intrest around day ther harrass pay amount otherwis tell complet parent pleas help sir madam
Online Gambling  Betting,Online Gambling  Betting,Sir please help me i lost my money to scammer he told me if i give money to account he will add that with bonus so I trust him and i give  please recover my money please i beg you i have proof of that person,sir pleas help lost money scammer told give money account add bonu trust give pleas recov money pleas beg proof person
Online Gambling  Betting,Online Gambling  Betting,"App link httpsoobicyclecomdownload
App Name OObk
Whatspp no    

Sir these people have transferred a lot of money to their accounts in the name of investment to the people like me through this app oobk
ye logo paise pr paise mang te rhe or na dene pr account ko block krne ki dhamki bhi di sir mera bhot sara paise y log lekr bhag hai",app link httpsoobicyclecomdownload app name oobk whatspp sir peopl transfer lot money account name invest peopl like app oobk ye logo pais pr pais mang te rhe na dene pr account ko block krne ki dhamki bhi di sir mera bhot sara pais log lekr bhag hai
Online Gambling  Betting,Online Gambling  Betting,"I saw an add for a nd hand camera in the Olx App on my mobile Next I texted him and he gave me the phone number I called him and asked for the camera rate of  and he said He then told me to deposit the money to the bank account number and he said I would send the parcel to your address I did not agree to that Then he made a video call and said he would show me the camera He showed the camera in a video call Next I agreed to it I immediately had State Bank Of India account  A  C rs in my Phonepe  A  C ICICI CURRENT ACCOUNT he gave
  Account Number  Account  Holder name SANKET PANDYA
  Ifsc Code Deposit to ICIC  Has been credited to He then couriered and an Envelope was sent to you I do not know what to do I do not know what to do Later he called No on  Then I realized that I had been deceived So please have mercy on me and investigate the person and give him any money and ask him to take appropriate action",saw add nd hand camera olx app mobil next text gave phone number call ask camera rate said told deposit money bank account number said would send parcel address agre made video call said would show camera show camera video call next agre immedi state bank india account c rs phonep c icici current account gave account number account holder name sanket pandya ifsc code deposit icic credit courier envelop sent know know later call realiz deceiv pleas merci investig person give money ask take appropri action
Online Gambling  Betting,Online Gambling  Betting,date  time  pm ko mene google se online help line nop call kiya to usne muje sbi ka servant bta kr mere se pan card aadhar card liya fir mere pas otp bheja jisko mene btaya to mere account se  ka froud ho gya tha,date time pm ko mene googl se onlin help line nop call kiya usn muje sbi ka servant bta kr mere se pan card aadhar card liya fir mere pa otp bheja jisko mene btaya mere account se ka froud ho gya tha
Online Gambling  Betting,Online Gambling  Betting,I ordered a phone from Amazon yesterday pm and it was cancelled in midnight am i woke up at am then seen my money was refunded back and order was cancelled and i had message on WhatsApp from this Amazon fraud seller To get the order again I tried to resolve it from Amazon end But they have advised me to file a complaint here Please help me get my money back,order phone amazon yesterday pm cancel midnight woke seen money refund back order cancel messag whatsapp amazon fraud seller get order tri resolv amazon end advis file complaint pleas help get money back
Online Gambling  Betting,Online Gambling  Betting,"He msg me in telegram and asked me for money in he asked me  and he said after days he definitely make it  and return me so i said i dont have money but he asked me to take loan from others and arrange i said i cant but he calling me and saying arrange at least  i make it  he given me number and said to call and i called him he said bro arrange  anyhow i make it  then i arranged  and given to his UPI and he said he will make  in days and then daily he call me and talk with me and He said bro i made  after  i will return he said then after days at th day he blocked me in telegram and block my phone number i tried many ways to get my  back but i cant so last somebody my friend suggested to complaint in cybercrime so i complaint i hope you will solve my problem and get my money back so please take action against him because he doing many scams with different different numbers to other peoples please take action against him
      THANK YOU",msg telegram ask money ask said day definit make return said dont money ask take loan other arrang said cant call say arrang least make given number said call call said bro arrang anyhow make arrang given upi said make day daili call talk said bro made return said day th day block telegram block phone number tri mani way get back cant last somebodi friend suggest complaint cybercrim complaint hope solv problem get money back pleas take action mani scam differ differ number peopl pleas take action thank
Online Gambling  Betting,Online Gambling  Betting,My close relative Facebook account created somebody and requesting for money PhonePay number he sent is  But i sent money request to him His name Shivendra Kushwaha,close rel facebook account creat somebodi request money phonepay number sent sent money request name shivendra kushwaha
Online Gambling  Betting,Online Gambling  Betting,VICTIM ALREADY SUBMITTED AADHAR CARD IN THAT IT IS CLEARLY MENTIONED THAT IS FROM TELANGANA EVEN AFTER KNOWING ALSO THEY ACCEPTED HIS REGISTRATION AND THEY DID FRAUD IN ONLINE GAMBLING AND MADE HIM LOSE,victim alreadi submit aadhar card clearli mention telangana even know also accept registr fraud onlin gambl made lose
Online Gambling  Betting,Online Gambling  Betting,He inflence us to invest in his platform called T rowe price and he doubles triples money in weeks and after to many users invested lacs money into it hd said comapny is facing trouble please invest more money and refused to pricess our withdrawal which we earned on his application called T rowe price,inflenc us invest platform call row price doubl tripl money week mani user invest lac money hd said comapni face troubl pleas invest money refus pricess withdraw earn applic call row price
Online Gambling  Betting,Online Gambling  Betting,"dear sir  
my name is kutubuddin  this insta lady cheating with me approxmatly  Rs please sir help me becuse is told me invesment  after i give you  lakh  but she is not given me anything   yester night block account goneplease sir help i have everthing she is tranfar money account panjab nation bank i am alredey given all trnction",dear sir name kutubuddin insta ladi cheat approxmatli rs pleas sir help becus told inves give lakh given anyth yester night block account gonepleas sir help everth tranfar money account panjab nation bank alredey given trnction
Online Gambling  Betting,Online Gambling  Betting,He sell me to id but he did not give me any id he told me to refund my money but he did not give me any thing he had scammed me plsease help me out for this scamm please help me to refund my money please,sell id give id told refund money give thing scam plseas help scamm pleas help refund money pleas
Online Gambling  Betting,Online Gambling  Betting,"Dear sirmam
I deposited k and I was playing game and I won k total So for withdrawal I need pay k st and then withdrawal possibleas customer service person said 
But
I paid k also and then they stop giving me response on watsapp chat
There WhatsApp no is
rani


I paid all amount in  times in different account as per attached PDF",dear sirmam deposit k play game k total withdraw need pay k st withdraw possiblea custom servic person said paid k also stop give respons watsapp chat whatsapp rani paid amount time differ account per attach pdf
Online Gambling  Betting,Online Gambling  Betting,"I was searching work from home job as i am a student This redirect to me a whatsapp number and told me to start the task 

I need to pay some amount and get the commision 
Like this i have completed level  and level 
Then i was able to withdraw after that the agent told me start level  
There i was trapped she told me st to complete  order then i can withdraw aftet that like this i have lost  and now she is telling me to deposite  for last withdrawl I am trapped i am a student  i have done from my  accounts hdfc icici and axis bank account",search work home job student redirect whatsapp number told start task need pay amount get commis like complet level level abl withdraw agent told start level trap told st complet order withdraw aftet like lost tell deposit last withdrawl trap student done account hdfc icici axi bank account
Online Gambling  Betting,Online Gambling  Betting,Sir This Was make Taobao Application He will Ask money In upi And Add to Hin Wallet My Money Stuck And Now in App Not withdrwal Coming Please investigated This issue Sir  He will Ask Money And Telling To person Daily peofit percentage for Total principal Amount in Our app And give me free compenstation Game For people But Today He will Not give withdrwal To Evwry person In Tb Group Please investigate This issue Sir,sir make taobao applic ask money upi add hin wallet money stuck app withdrwal come pleas investig issu sir ask money tell person daili peofit percentag total princip amount app give free compenst game peopl today give withdrwal evwri person tb group pleas investig issu sir
Online Gambling  Betting,Online Gambling  Betting,Year ago one of my relative took a small loan of k from Red Carpet App as per him He repaid the loan already with charges and interest but still Red Carpet Demanding Money From Him He has my mobile no saved in his contact list now red carpet collection agents are  calling me n harrasing me also to ask my relative to pay his loan often i got few calls from redcarpet they uses abusive language while talking plzz take strict action against dis type of app based loan compneis,year ago one rel took small loan k red carpet app per repaid loan alreadi charg interest still red carpet demand money mobil save contact list red carpet collect agent call n harras also ask rel pay loan often got call redcarpet use abus languag talk plzz take strict action di type app base loan compnei
Online Gambling  Betting,Online Gambling  Betting,There is an application named Golden Idea which claims that if we invest money they will return the amount with good interest and now when a large number of people invest in it they give a lot of excuses So please take action against this type of chit fundsEarlier it was in play store now it is goneLooted a lot of money for people,applic name golden idea claim invest money return amount good interest larg number peopl invest give lot excus pleas take action type chit fundsearli play store goneloot lot money peopl
Online Gambling  Betting,Online Gambling  Betting,Sir at  PM the amount will be on other Paytm no I will not at this tym bus in this I will check the amount will debited from my account kindly check my issue take against action from this This PAYTM NO,sir pm amount paytm tym bu check amount debit account kindli check issu take action paytm
Online Gambling  Betting,Online Gambling  Betting,Mere paas whatsap msg aaya ki   se ruppe king ki taraf se is link pe click kar ke peyment ki jiye nahi to all contact pe phone kiya jayega maine us mobile no pe baat ki to use kuch pata hi nahj  uska whatsap alredy suspend hai whatsap se unnone bola ki mere paas bahut si call aati hai isi ko lekar,mere paa whatsap msg aaya ki se rupp king ki taraf se link pe click kar ke peyment ki jiy nahi contact pe phone kiya jayega main us mobil pe baat ki use kuch pata hi nahj uska whatsap alredi suspend hai whatsap se unnon bola ki mere paa bahut si call aati hai isi ko lekar
Online Gambling  Betting,Online Gambling  Betting," days ago when I am using social media I see a advertisement of AG Loan company which was offering loan in small intrest and for long term I was installed application and Fill up all detail and they showing when I have take loan of  rs  I have only paid to  rs after  days but after filling up all detail they automatically send me  rs and asking me to pay  rs in  days I also mail this company which  mail id is mentioned in  play store but i didnot get any response today they calling me and pressuring for payment of  also says them that i am only pay that amount which you transfer but they using vulgar language and also sending messages to my friends which contact detail I mention in application as reference when I am filling my details


They also call me from other countries no

They was whatsapp messag me from this for payment but i call on this number a person said he was send me any message

This fraud company also hacked my contact list and message them all",day ago use social media see advertis ag loan compani offer loan small intrest long term instal applic fill detail show take loan rs paid rs day fill detail automat send rs ask pay rs day also mail compani mail id mention play store didnot get respons today call pressur payment also say pay amount transfer use vulgar languag also send messag friend contact detail mention applic refer fill detail also call countri whatsapp messag payment call number person said send messag fraud compani also hack contact list messag
Online Gambling  Betting,Online Gambling  Betting,"He told that he will give double the amount I am investing Since I was playing online casino with him for  months I trusted and transferred money But when I asked for the money he did not responded back and also blocked my number There was one more guy whom I reached and he also asked
Me to wait so that he can help me in getting the money and that why the delay

Contact details of both the persons
 
 

httpsvishalbookcomindexhtml
httpswwwsafaribookcom",told give doubl amount invest sinc play onlin casino month trust transfer money ask money respond back also block number one guy reach also ask wait help get money delay contact detail person httpsvishalbookcomindexhtml httpswwwsafaribookcom
Online Gambling  Betting,Online Gambling  Betting,i got to know about them by instagram so i taught of ordering there product by seeing there reviews then one day i approached them they said st we have to payment and then they will proceed blindly i believed them and did payment after the payment they started ignoring my messages they are not responding to any mails and messages they said they will be delivering the product within  to  days and its been almost  month they still not responding to any of my messages there whats app numbers are     there instagram page is  thefreakykart email id samparkthefreakykartcom  address of them is  old adarsh colonybidarkarnataka  later when i saw there google reviews every one was complaining about them and there are some people who gave complaint to cyber crime and got justice so i just them to deliver the product i ordered or refund as there website is about to make products of peoples photos i was kind of worried too so i was hopping justice will be served soon,got know instagram taught order product see review one day approach said st payment proceed blindli believ payment payment start ignor messag respond mail messag said deliv product within day almost month still respond messag what app number instagram page thefreakykart email id samparkthefreakykartcom address old adarsh colonybidarkarnataka later saw googl review everi one complain peopl gave complaint cyber crime got justic deliv product order refund websit make product peopl photo kind worri hop justic serv soon
Online Gambling  Betting,Online Gambling  Betting,"        Gameblink            gambling               gamblink                                                     apk                                                              
   UPI id    
paytmpaytm
ashenfallousippyesbank",gameblink gambl gamblink apk upi id paytmpaytm ashenfallousippyesbank
Online Gambling  Betting,Online Gambling  Betting,I have received a message that you can earn five thousand rs per day and link was httpshtriumphcloudhpagesindexindex website or triumph app When i clicked the link my account was created and one person guide me to complete the task and you will get commission After account creation got to the orders task and click on grab orders and will get thirty percent commission of order After that they big orders tasks to complete the tasks then i add the money to complete the task and also they freeze my money in website and i have no option to complete the big amount task  They said via whatsapp once you complete the six orders you will get all money and withdraw the money any time  But when i completed all tasks they freeze my account and i couldnot withdraw my money Kindly help to get my money back on my account and take appropriate action immediately,receiv messag earn five thousand rs per day link httpshtriumphcloudhpagesindexindex websit triumph app click link account creat one person guid complet task get commiss account creation got order task click grab order get thirti percent commiss order big order task complet task add money complet task also freez money websit option complet big amount task said via whatsapp complet six order get money withdraw money time complet task freez account couldnot withdraw money kindli help get money back account take appropri action immedi
Online Gambling  Betting,Online Gambling  Betting,"Sir  Madam  NA CELL NO   
NENU ELANTI FINACE KANI GOLD LOAN KANI RUPAY RUPEES  AMIYU TISUKOLEDU EE DATE  TO   AND  VARAKU PHONE CHESI AND  WHATSAPP  NUNDI NAKU VEDISTHUNADU  VERE VERE PHONE NUMBERS NUNDI WHATSAPP CHESTHUNADU  PHONE No s   ee Numbers dwara nanu phone chesi vedisunaru  kavuna Naa YANDU DHAYATHALACHI NAKU NYAYAM CHEYYA GALARU ",sir madam na cell nenu elanti finac kani gold loan kani rupay rupe amiyu tisukoledu ee date varaku phone chesi whatsapp nundi naku vedisthunadu vere vere phone number nundi whatsapp chesthunadu phone ee number dwara nanu phone chesi vedisunaru kavuna naa yandu dhayathalachi naku nyayam cheyya galaru
Online Gambling  Betting,Online Gambling  Betting,They cheat they say send money I give Id then you dont play I automatically increase point I give money back some time they after they self cut my point and not give me money now they cheat somtheing  rs I have all screenshot of payment,cheat say send money give id dont play automat increas point give money back time self cut point give money cheat somth rs screenshot payment
Online Gambling  Betting,Online Gambling  Betting,My mobile contacts have been hacked and demanding money  otherwise the send porn messages to my contact list and told he gave u r number as a greater so u send tha money otherwise cal to him like dat they send messages with porn pics  Pls help me,mobil contact hack demand money otherwis send porn messag contact list told gave u r number greater u send tha money otherwis cal like dat send messag porn pic pl help
Online Gambling  Betting,Online Gambling  Betting,In the website fraud people randomly sends link and ask them to joinregister Some people call themselves as analyst do marketings and encourge people to join and play online betting In website using phone number can register and login add money Lottery is banned in many states also this people not paying any taxes i believe Kindly investigate and protect the society from this kind of platforms,websit fraud peopl randomli send link ask joinregist peopl call analyst market encourg peopl join play onlin bet websit use phone number regist login add money lotteri ban mani state also peopl pay tax believ kindli investig protect societi kind platform
Online Gambling  Betting,Online Gambling  Betting,I had transferred  to South india fashion wear for a costume  Instead they send a very cheap quality dress and when i am asking her she is not responding and blocked my number and i have got to know that she is doing this to everyone i want this scam to be stopped and no other women should get trapped into her scam and sincerely request to give my money back,transfer south india fashion wear costum instead send cheap qualiti dress ask respond block number got know everyon want scam stop women get trap scam sincer request give money back
Online Gambling  Betting,Online Gambling  Betting,"Few people are collecting money of  on the name of Pearvlinecom to open digital account Saying that customers can earn  lakhs in  year by simple paying  
Wwwpearvlinecom is the website they are referring 
They are involving higher officials from departments they said that few from CBI also joined and earning INR  crores  from this business Seems this is chain system fraud Plz investigate and kindly save people from this type of fraud
",peopl collect money name pearvlinecom open digit account say custom earn lakh year simpl pay wwwpearvlinecom websit refer involv higher offici depart said cbi also join earn inr crore busi seem chain system fraud plz investig kindli save peopl type fraud
Online Gambling  Betting,Online Gambling  Betting,"This accident is around 
Send the money from Google pay upi send  rupees this accident from send the request Facebook anil kumar ravit and need for money I m in hospitalized in admitted so please send the money",accid around send money googl pay upi send rupe accid send request facebook anil kumar ravit need money hospit admit pleas send money
Online Gambling  Betting,Online Gambling  Betting,"                                                                                 
  ifsc SBIN",ifsc sbin
Online Gambling  Betting,Online Gambling  Betting,"It is order grabing website
It has customer service through telegram
The amount order is increasing continuosly beyond its subscription
When I contact customer care is ask me add amount 
Later after paying penalty it said we can withdraw
Later they changed their word",order grabe websit custom servic telegram amount order increas continuosli beyond subscript contact custom care ask add amount later pay penalti said withdraw later chang word
